1779591977|bob|re
1779591995|alice|прив
1779592432|alice|ky
1779592443|bob|суппер прив
1779592541|alice|g
1779592548|bob|a
1779619760|bob|yyy
1779619767|alice|fff
1779619770|alice|rrr
1779619772|bob|eeee
1779711715|alice|222
1779711716|alice|11
1779711717|alice|33
1779802990|bob|1
1779858315|bob|bebe
1779858323|alice|kaka
1779975036|alice|ky
1779989704|bob|привет
1779989713|alice|ку
1779990596|bob|привет
1779990659|bob|1
1779990665|alice|1
1779990678|bob|1
1779990735|bob|1
1779990786|bob|1
1779990788|alice|1
1779990867|bob|1
1779990903|bob|23
1779991180|alice|1
1779991191|alice|1
1779991208|bob|1
1779991211|alice|2
1779991213|alice|1
1779991216|bob|2
1779991352|bob|2
1779991353|bob|3
1779991354|bob|4
1779991354|bob|1
1779991354|bob|2
1779991355|bob|3
1779991765|alice|4
1779991795|bob|3
1779991796|bob|2
1779991796|bob|1
1779991797|bob|2
1779991797|bob|3
1779991798|bob|1
1779991798|bob|2
1779991798|bob|3
1779991799|bob|4
1779991799|bob|5
1779991800|bob|3
1779991800|bob|2
1779991800|bob|1
1779991879|bob|2
1779991879|bob|3
1779991880|bob|1
1779991882|alice|2
1779991882|alice|1
1779991883|alice|3
1779991883|alice|2
1779991884|alice|1
1779991955|bob|2
1779991955|bob|2
1779991956|bob|2
1779991956|bob|2
1779991957|bob|1
1779991957|bob|34
1779991959|bob|4
